second,track_angle,altitude,groundspeed,on_taxiway
6631.0,248.53691213726398,3994.640625,129.0,0.0
6632.0,248.598710884893,3982.640625,129.35546875,0.0
6633.0,248.708573383832,3971.09375,130.0,0.0
6634.0,248.81843588277098,3962.1875,130.0,0.0
6635.0,248.858944997065,3946.640625,130.35546875,0.0
6636.0,248.78710790455798,3934.1875,131.0,0.0
6637.0,248.69921790540698,3918.640625,131.35546875,0.0
6638.0,249.21830442280103,3906.640625,132.35546875,0.0
6639.0,249.42214714176103,3894.1875,133.0,0.0
6640.0,249.706653601548,3878.640625,133.35546875,0.0
6641.0,249.40727610798803,3865.734375,134.0,0.0
6642.0,249.31525937007999,3846.1875,134.0,0.0
6643.0,249.651853958027,3829.734375,134.0,0.0
6644.0,249.857853157679,3809.734375,134.0,0.0
6645.0,249.73013691068698,3790.1875,134.0,0.0
6646.0,249.25086865411203,3774.1875,134.0,0.0
6647.0,249.09637828914398,3757.734375,133.64453125,0.0
6648.0,249.102297882288,3738.1875,133.0,0.0
6649.0,249.124270382076,3722.1875,133.0,0.0
6650.0,249.44973114013598,3706.640625,133.0,0.0
6651.0,249.450414006589,3693.734375,133.0,0.0
6652.0,249.594175173203,3674.1875,132.64453125,0.0
6653.0,249.466458926211,3658.640625,132.0,0.0
6654.0,249.29067892790798,3646.640625,132.0,0.0
6655.0,248.98094116713298,3633.734375,132.0,0.0
6656.0,248.59427545784303,3614.1875,132.0,0.0
6657.0,248.805762952252,3598.640625,132.0,0.0
6658.0,249.41686620755402,3586.1875,132.0,0.0
6659.0,249.960444239757,3570.640625,131.64453125,0.0
6660.0,249.70980207741403,3558.640625,131.0,0.0
6661.0,249.336277568044,3546.1875,131.0,0.0
6662.0,249.26624131694598,3530.640625,131.0,0.0
6663.0,248.925368695631,3518.640625,131.0,0.0
6664.0,248.81495475754502,3506.1875,131.0,0.0
6665.0,249.052525516454,3490.640625,131.0,0.0
6666.0,249.33816002667302,3478.640625,131.35546875,0.0
6667.0,249.328012210247,3466.640625,132.0,0.0
6668.0,249.58577181265,3454.640625,132.0,0.0
6669.0,249.286402306112,3442.640625,132.0,0.0
6670.0,249.194393555227,3430.640625,132.0,0.0
6671.0,248.962549271787,3418.1875,132.35546875,0.0
6672.0,248.566396656767,3402.1875,133.0,0.0
6673.0,248.755911651388,3386.1875,133.0,0.0
6674.0,249.345042406902,3369.734375,133.0,0.0
6675.0,249.835824212808,3350.1875,133.0,0.0
6676.0,250.08943069324602,3333.734375,133.0,0.0
6677.0,250.00565944582996,3314.1875,133.0,0.0
6678.0,249.57033618883,3297.734375,132.64453125,0.0
6679.0,249.22565594981097,3278.1875,132.0,0.0
6680.0,249.105668124394,3262.1875,131.64453125,0.0
6681.0,249.321274370538,3246.1875,131.0,0.0
6682.0,249.584944367991,3230.1875,131.0,0.0
6683.0,249.733025391036,3214.640625,130.64453125,0.0
6684.0,249.69386273607998,3202.1875,130.0,0.0
6685.0,249.62794523671698,3186.1875,130.0,0.0
6686.0,249.562027737353,3170.1875,130.0,0.0
6687.0,249.49611023799,3154.640625,130.0,0.0
6688.0,249.73368099689898,3142.1875,129.64453125,0.0
6689.0,249.715827248845,3126.1875,129.0,0.0
6690.0,249.649909749482,3110.640625,129.0,0.0
6691.0,249.58399225011902,3098.1875,129.0,0.0
6692.0,249.518074750755,3082.640625,129.0,0.0
6693.0,249.45215725139198,3070.1875,129.0,0.0
6694.0,249.38623975202802,3054.640625,129.0,0.0
6695.0,249.358851910801,3042.1875,129.0,0.0
6696.0,249.393878628908,3026.640625,128.64453125,0.0
6697.0,249.43782362848302,3014.1875,128.0,0.0
6698.0,249.481768628059,2998.640625,128.0,0.0
6699.0,249.502595832753,2986.1875,128.0,0.0
6700.0,249.485974301846,2970.640625,128.0,0.0
6701.0,249.160513543786,2957.734375,128.0,0.0
6702.0,249.39396555096098,2938.640625,128.0,0.0
6703.0,249.74666285563703,2926.1875,128.0,0.0
6704.0,249.226344121096,2910.1875,128.0,0.0
6705.0,249.17416161805198,2894.640625,128.0,0.0
6706.0,249.5215948759,2882.640625,128.0,0.0
6707.0,249.85544443203997,2870.640625,128.0,0.0
6708.0,250.08943069324602,2858.1875,128.0,0.0
6709.0,250.00565944582996,2842.1875,128.0,0.0
6710.0,249.873824447103,2826.640625,128.0,0.0
6711.0,249.82675469627603,2814.1875,128.0,0.0
6712.0,249.916996975983,2798.640625,128.0,0.0
6713.0,250.026859474922,2786.640625,128.0,0.0
6714.0,249.833233715588,2774.1875,128.0,0.0
6715.0,249.529896751927,2758.640625,128.0,0.0
6716.0,249.733673009876,2746.1875,128.0,0.0
6717.0,249.71581926182301,2730.1875,128.0,0.0
6718.0,249.953390020732,2714.640625,128.0,0.0
6719.0,250.18508300956,2702.1875,128.35546875,0.0
6720.0,250.025907357049,2686.1875,129.0,0.0
6721.0,250.10967061744302,2670.1875,129.0,0.0
6722.0,250.241497629148,2654.1875,129.0,0.0
6723.0,250.753872215397,2638.640625,129.0,0.0
6724.0,250.832163155079,2626.1875,129.0,0.0
6725.0,250.528674896807,2610.1875,129.0,0.0
6726.0,250.48061114549702,2594.640625,129.0,0.0
6727.0,250.791805335396,2582.1875,129.35546875,0.0
6728.0,250.8600579302,2566.1875,130.0,0.0
6729.0,250.578542171716,2550.640625,130.0,0.0
6730.0,250.55245092019402,2538.1875,130.0,0.0
6731.0,250.620659009745,2522.640625,130.0,0.0
6732.0,250.76376457049702,2510.1875,130.0,0.0
6733.0,250.61408381073898,2494.640625,130.0,0.0
6734.0,250.416339299671,2483.09375,129.64453125,0.0
6735.0,250.53749491012996,2475.09375,129.0,0.0
6736.0,250.42819183736,2467.09375,129.0,0.0
6737.0,250.274392325868,2459.09375,129.0,0.0
6738.0,250.72756933092097,2451.546875,129.0,0.0
6739.0,250.911738127303,2447.546875,128.64453125,0.0
6740.0,250.644491619169,2444.0,128.0,0.0
6741.0,250.618400367647,2443.546875,128.0,0.0
6742.0,250.640372867434,2440.453125,128.0,0.0
6743.0,250.66234536722197,2444.0,128.0,0.0
6744.0,250.98780612528302,2444.453125,128.0,0.0
6745.0,250.75435411810798,2448.453125,128.0,0.0
6746.0,250.424774608313,2452.0,128.35546875,0.0
6747.0,250.383271493536,2452.453125,129.0,0.0
6748.0,250.061378048064,2456.0,129.35546875,0.0
6749.0,250.294830055238,2456.453125,130.0,0.0
6750.0,250.624409565033,2460.453125,130.35546875,0.0
6751.0,250.611971158419,2463.546875,131.35546875,0.0
6752.0,250.48905444116102,2460.0,132.0,0.0
6753.0,250.357219442435,2460.0,132.0,0.0
6754.0,250.225384443708,2460.453125,132.35546875,0.0
6755.0,250.10896130823502,2463.546875,133.0,0.0
6756.0,250.32099225476898,2460.0,133.0,0.0
6757.0,250.28116600692798,2460.0,133.0,0.0
6758.0,249.88978774950402,2460.0,133.0,0.0
6759.0,249.558228783552,2460.0,133.0,0.0
6760.0,249.704918842006,2459.546875,133.0,0.0
6761.0,249.924643839885,2455.546875,133.0,0.0
6762.0,249.84088057948998,2452.0,133.0,0.0
6763.0,248.932546555441,2451.546875,133.0,0.0
6764.0,247.349972709431,2448.0,133.0,0.0
6765.0,245.073118157103,2448.0,133.35546875,0.0
6766.0,242.700136102154,2447.546875,134.35546875,0.0
6767.0,240.03907765218898,2444.0,135.0,0.0
6768.0,237.354921274644,2444.0,135.35546875,0.0
6769.0,234.674332209688,2444.0,136.35546875,0.0
6770.0,231.69025488646,2444.0,137.35546875,0.0
6771.0,228.67352567517798,2444.0,138.35546875,0.0
6772.0,225.98525054589803,2444.0,139.35546875,0.0
6773.0,223.045118222246,2444.0,140.7109375,0.0
6774.0,220.056922147283,2444.453125,142.35546875,0.0
6775.0,217.449273646867,2448.0,143.35546875,0.0
6776.0,215.31800627469798,2448.0,144.35546875,0.0
6777.0,213.556127475051,2448.453125,145.35546875,0.0
6778.0,212.449288943259,2452.453125,146.35546875,0.0
6779.0,211.595653471441,2456.0,147.35546875,0.0
6780.0,210.552906425466,2456.453125,148.35546875,0.0
6781.0,209.47626990990798,2460.0,149.35546875,0.0
6782.0,207.79265687780602,2460.0,150.0,0.0
